clocks, time
8361379, 0.003810
6503876, 0.002963
6116142, 0.002786
6154336, 0.002804
6421220, 0.002926
6058338, 0.002760
6061048, 0.002761
6243394, 0.002845
6067544, 0.002764
6175212, 0.002814
6070636, 0.002766
6065492, 0.002764
6405656, 0.002919
6225718, 0.002836
6065234, 0.002764
6064616, 0.002763
6070516, 0.002766
6160440, 0.002807
6065500, 0.002764
7671746, 0.003495
7721571, 0.003518
9676230, 0.004408
7796392, 0.003552
6716020, 0.003060
6067392, 0.002764
6159378, 0.002806
6582080, 0.002999
6390346, 0.002912
6174948, 0.002813
6157732, 0.002806
6063700, 0.002762
6103260, 0.002781
6058994, 0.002760
7756033, 0.003534
10781587, 0.004912
8744050, 0.003984
7352152, 0.003350
6265506, 0.002854
6250370, 0.002848
7197156, 0.003279
9167428, 0.004176
7061476, 0.003217
6910024, 0.003148
7546944, 0.003438
6747888, 0.003075
6384644, 0.002909
6772708, 0.003085
6249920, 0.002847
6307306, 0.002874
7666220, 0.003492
7963667, 0.003628
7580733, 0.003454
6760710, 0.003080
6064498, 0.002763
6064468, 0.002763
6173302, 0.002813
6163834, 0.002808
6326826, 0.002883
6174294, 0.002812
6066234, 0.002764
6064462, 0.002763
6276382, 0.002859
6064930, 0.002763
6060304, 0.002761
6155316, 0.002805
6470152, 0.002948
7505962, 0.003420
10880639, 0.004957
8826988, 0.004021
8197460, 0.003735
6374986, 0.002904
6587530, 0.003001
6543416, 0.002981
6062382, 0.002762
6060788, 0.002761
6065410, 0.002764
6060852, 0.002761
6163796, 0.002808
6064064, 0.002762
6737696, 0.003070
8011714, 0.003650
6970647, 0.003175
8247383, 0.003758
10397669, 0.004737
8488626, 0.003867
7181485, 0.003272
6730412, 0.003067
7895512, 0.003597
8694413, 0.003961
7544949, 0.003437
6339184, 0.002888
6506524, 0.002965
6113686, 0.002785
6460376, 0.002944
6060492, 0.002761
6135692, 0.002795
6085334, 0.002772
6167070, 0.002810
6116928, 0.002787
6965448, 0.003173
6082036, 0.002771
6458160, 0.002942
6060148, 0.002761
6649830, 0.003029
7296720, 0.003325
9030742, 0.004114
